ID,Type,Criticality,Source,AssetValue,CVE,CVSS,History,HistoryNote,MITRE_Code,MITRE_Name,Timestamp,Recommendations
1,Malware,High,DomainController-01,10,CVE-2024-38112,8.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-02 17:47:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
13,Malware,Medium,Workstation-08,4,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-08 01:44:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
14,Malware,High,AppServer-06,6,CVE-2024-21412,9.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-01 14:51:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
15,Malware,Medium,MailServer-05,7,CVE-2024-21412,9.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-07 07:56:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
16,Malware,High,WebServer-03,7,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-08 02:29:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
17,Malware,Low,FileServer-02,8,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-04 01:47:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
18,Malware,High,LaptopUser-10,2,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-02 17:32:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
19,Malware,High,DomainController-01,10,CVE-2024-21412,9.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-02 22:50:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
20,Malware,High,LaptopUser-10,2,CVE-2024-21412,9.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-07 14:29:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
21,Phishing,High,LaptopUser-09,2,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-02 11:43:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
22,Phishing,Critical,MailServer-05,7,None,0.0,False,First occurrence,T1566,Phishing,2024-11-05 21:10:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
23,Phishing,High,MailServer-05,7,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-06 15:58:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
24,Phishing,Low,MailServer-05,7,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-02 21:23:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
25,Phishing,Critical,LaptopUser-09,2,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-07 15:20:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
26,Phishing,High,DatabaseServer-04,9,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-04 12:15:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
27,Phishing,Low,LaptopUser-10,2,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-01 23:48:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
28,Phishing,High,FileServer-02,8,CVE-2023-36884,8.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-07 02:10:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
29,Phishing,Medium,LaptopUser-10,2,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-07 00:48:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
30,Phishing,High,WebServer-03,7,None,0.0,False,First occurrence,T1566,Phishing,2024-11-08 04:23:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
31,Phishing,High,LaptopUser-09,2,None,0.0,False,First occurrence,T1566,Phishing,2024-11-03 15:04:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
32,Phishing,Medium,LaptopUser-10,2,None,0.0,False,First occurrence,T1566,Phishing,2024-11-03 14:00:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
33,Phishing,Low,DomainController-01,10,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-04 18:04:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
34,Phishing,High,MailServer-05,7,None,0.0,False,First occurrence,T1566,Phishing,2024-11-02 15:46:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
35,Phishing,Critical,LaptopUser-10,2,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-06 07:51:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
36,Phishing,High,DatabaseServer-04,9,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-05 00:27:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
37,Phishing,High,DomainController-01,10,CVE-2024-20656,7.8,False,First occurrence,T1566,Phishing,2024-11-04 20:51:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
38,Phishing,Critical,WebServer-03,7,CVE-2023-36884,8.8,False,First occurrence,T1566,Phishing,2024-11-06 00:08:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
39,Phishing,High,MailServer-05,7,None,0.0,False,First occurrence,T1566,Phishing,2024-11-02 01:28:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
40,Phishing,Critical,LaptopUser-09,2,CVE-2024-20656,7.8,False,First occurrence,T1566,Phishing,2024-11-07 00:53:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
41,BruteForce,Low,DatabaseServer-04,9,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-06 10:30:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
42,BruteForce,Medium,Workstation-07,4,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-01 06:24:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
43,BruteForce,Medium,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-07 04:42:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
44,BruteForce,High,FileServer-02,8,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-01 20:37:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
45,BruteForce,High,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-07 11:30:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
46,BruteForce,High,LaptopUser-09,2,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-06 16:05:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
47,BruteForce,Critical,DatabaseServer-04,9,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-03 18:25:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
48,BruteForce,Low,LaptopUser-10,2,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-07 20:05:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
49,BruteForce,Medium,LaptopUser-10,2,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 00:13:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
50,BruteForce,High,AppServer-06,6,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-02 15:42:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
51,BruteForce,High,Workstation-08,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-02 00:00:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
52,BruteForce,Medium,LaptopUser-10,2,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-03 12:32:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
53,BruteForce,Medium,AppServer-06,6,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-05 04:18:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
54,BruteForce,Low,LaptopUser-09,2,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-08 05:33:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
55,BruteForce,Low,LaptopUser-09,2,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-02 16:16:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
56,BruteForce,Low,DatabaseServer-04,9,CVE-2024-38077,9.8,False,Isolated failed login,T1110,Brute Force,2024-11-07 16:13:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
57,BruteForce,High,WebServer-03,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-03 22:57:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
58,BruteForce,Critical,DomainController-01,10,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 04:02:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
59,BruteForce,Low,FileServer-02,8,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-05 23:35:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
60,BruteForce,High,LaptopUser-09,2,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-02 20:34:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
61,Ransomware,Low,AppServer-06,6,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-02 14:02:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
62,Ransomware,High,DomainController-01,10,CVE-2024-26169,7.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-03 21:42:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
63,Ransomware,Medium,LaptopUser-09,2,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-02 21:59:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
64,Ransomware,Critical,FileServer-02,8,CVE-2024-37085,7.2,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-01 12:11:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
65,Ransomware,Critical,AppServer-06,6,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-03 21:17:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
66,Ransomware,Medium,DatabaseServer-04,9,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-06 06:14:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
67,Ransomware,Medium,Workstation-08,4,CVE-2024-26169,7.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-03 16:14:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
68,Ransomware,Low,WebServer-03,7,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-01 23:49:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
69,Ransomware,High,LaptopUser-09,2,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-06 23:21:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
70,Ransomware,Critical,DatabaseServer-04,9,CVE-2024-26169,7.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-04 01:02:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
71,Ransomware,Medium,Workstation-07,4,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-04 14:27:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
72,Ransomware,Critical,LaptopUser-09,2,CVE-2024-40711,9.8,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-07 09:12:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
73,Ransomware,High,Workstation-07,4,CVE-2024-40711,9.8,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-06 23:43:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
74,Ransomware,Critical,WebServer-03,7,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-04 18:39:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
75,Ransomware,High,DatabaseServer-04,9,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-05 14:20:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
76,Ransomware,High,MailServer-05,7,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-05 17:42:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
77,Ransomware,Critical,FileServer-02,8,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-05 13:35:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
78,Ransomware,Critical,MailServer-05,7,CVE-2024-26169,7.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-07 10:38:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
79,Ransomware,Critical,Workstation-08,4,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-03 12:32:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
80,Ransomware,High,FileServer-02,8,CVE-2024-40711,9.8,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-08 00:39:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
81,DataExfiltration,High,WebServer-03,7,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-03 08:09:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
82,DataExfiltration,Low,WebServer-03,7,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-02 00:29:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
83,DataExfiltration,High,LaptopUser-10,2,CVE-2024-30103,8.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-05 08:31:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
84,DataExfiltration,High,FileServer-02,8,CVE-2024-21338,7.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-02 09:49:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
85,DataExfiltration,High,FileServer-02,8,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-07 04:15:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
86,DataExfiltration,Critical,DatabaseServer-04,9,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-06 04:42:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
87,DataExfiltration,High,LaptopUser-09,2,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-05 23:39:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
88,DataExfiltration,Critical,LaptopUser-09,2,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-07 02:28:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
89,DataExfiltration,Critical,Workstation-08,4,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-03 21:53:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
90,DataExfiltration,Critical,LaptopUser-09,2,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-04 04:28:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
91,DataExfiltration,Medium,MailServer-05,7,CVE-2024-30103,8.8,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-04 15:57:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
92,DataExfiltration,High,FileServer-02,8,CVE-2024-30103,8.8,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-02 21:45:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
93,DataExfiltration,High,Workstation-07,4,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-06 05:26:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
94,DataExfiltration,Medium,Workstation-07,4,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-07 11:44:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
95,DataExfiltration,Low,LaptopUser-10,2,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-05 00:19:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
96,DataExfiltration,Critical,Workstation-07,4,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-07 01:51:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
97,DataExfiltration,Critical,WebServer-03,7,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-05 21:31:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
98,DataExfiltration,Low,AppServer-06,6,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-03 00:53:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
99,DataExfiltration,High,FileServer-02,8,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-05 10:37:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
100,DataExfiltration,High,DomainController-01,10,CVE-2024-21338,7.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-02 16:55:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
