ID,Type,Criticality,Source,AssetValue,CVE,CVSS,History,HistoryNote,MITRE_Code,MITRE_Name,Timestamp,Recommendations
17,Malware,High,AppServer-06,6,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-12 11:32:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
18,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-09 17:09:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
19,Malware,Critical,Workstation-08,4,CVE-2024-21412,9.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-06 00:59:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
20,Phishing,Critical,WebServer-03,7,CVE-2023-36884,8.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-04 14:05:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
21,DataExfiltration,Critical,Workstation-08,4,CVE-2024-30103,8.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-24 16:10:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
22,DataExfiltration,High,AppServer-06,6,CVE-2024-30103,8.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-30 16:12:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
23,BruteForce,High,MailServer-05,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-11 19:14:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
24,Malware,Low,Workstation-07,4,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-28 04:03:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
25,Phishing,High,MailServer-05,7,CVE-2024-20656,7.8,False,First occurrence,T1566,Phishing,2024-11-21 23:13:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
26,DataExfiltration,High,Workstation-07,4,CVE-2024-30103,8.8,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-09 08:06:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
27,BruteForce,Medium,Workstation-07,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-28 19:06:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
28,DataExfiltration,Low,Workstation-07,4,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-07 05:27:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
29,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-05 10:03:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
30,BruteForce,High,DomainController-01,10,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-08 08:26:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
31,Malware,Critical,AppServer-06,6,CVE-2024-21412,9.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-17 21:16:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
32,DataExfiltration,High,WebServer-03,7,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-24 23:42:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
33,Malware,High,WebServer-03,7,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-24 09:03:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
34,Malware,High,Workstation-07,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-03 16:32:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
35,Malware,Medium,Workstation-07,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-25 13:15:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
36,Malware,High,DomainController-01,10,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-14 17:59:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
37,Ransomware,Critical,MailServer-05,7,CVE-2024-37085,7.2,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-28 18:19:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
38,Phishing,High,DomainController-01,10,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-05 12:04:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
39,BruteForce,High,DatabaseServer-04,9,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-17 00:18:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
40,DataExfiltration,High,WebServer-03,7,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-23 19:00:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
41,BruteForce,Critical,DomainController-01,10,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-24 20:09:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
42,Ransomware,High,MailServer-05,7,CVE-2024-37085,7.2,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-22 19:31:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
43,Phishing,High,DomainController-01,10,CVE-2024-20656,7.8,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-03 03:00:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
44,Malware,High,WebServer-03,7,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-19 11:35:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
45,Malware,Medium,Workstation-08,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-07 13:27:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
46,BruteForce,Critical,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-05 15:22:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
47,DataExfiltration,High,AppServer-06,6,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-11 08:55:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
48,DataExfiltration,Critical,DatabaseServer-04,9,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-15 10:50:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
49,DataExfiltration,Critical,FileServer-02,8,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-17 13:55:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
50,BruteForce,Medium,Workstation-08,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-10 23:14:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
51,Malware,Low,Workstation-07,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-13 03:22:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
52,BruteForce,High,Workstation-08,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-12 09:11:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
53,Phishing,High,DomainController-01,10,CVE-2024-20656,7.8,False,First occurrence,T1566,Phishing,2024-11-14 15:27:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
54,BruteForce,Critical,AppServer-06,6,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-19 20:00:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
55,DataExfiltration,High,FileServer-02,8,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-15 08:39:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
56,DataExfiltration,High,WebServer-03,7,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-18 10:44:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
57,Malware,High,AppServer-06,6,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-27 12:36:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
58,BruteForce,Critical,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-25 23:38:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
59,BruteForce,Critical,Workstation-07,4,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-08 11:42:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
60,BruteForce,Low,Workstation-07,4,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-10 20:51:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
61,Malware,High,FileServer-02,8,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-20 16:26:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
62,Ransomware,High,AppServer-06,6,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-30 14:00:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
63,DataExfiltration,Critical,DomainController-01,10,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-30 22:33:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
64,Ransomware,Critical,DomainController-01,10,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-23 21:35:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
65,Phishing,High,Workstation-07,4,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-19 10:53:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
66,BruteForce,High,DatabaseServer-04,9,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-28 10:17:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
67,BruteForce,High,FileServer-02,8,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-11 06:17:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
68,Phishing,Critical,DomainController-01,10,CVE-2023-36884,8.8,False,First occurrence,T1566,Phishing,2024-11-07 18:45:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
69,BruteForce,High,MailServer-05,7,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-19 04:24:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
70,Ransomware,High,DomainController-01,10,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-16 06:19:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
71,DataExfiltration,High,AppServer-06,6,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-26 23:57:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
72,Malware,Critical,AppServer-06,6,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-30 05:51:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
73,Malware,High,Workstation-07,4,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-18 01:37:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
74,Malware,High,AppServer-06,6,CVE-2024-30051,7.8,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-12 08:24:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
75,BruteForce,Critical,MailServer-05,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-19 05:16:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
76,BruteForce,High,Workstation-08,4,CVE-2024-49563,7.3,False,Isolated failed login,T1110,Brute Force,2024-11-28 23:04:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
77,Ransomware,Critical,DomainController-01,10,CVE-2024-37085,7.2,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-07 18:15:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
78,Ransomware,High,FileServer-02,8,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-08 09:38:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
79,DataExfiltration,High,DomainController-01,10,CVE-2024-30103,8.8,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-02 08:59:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
80,Ransomware,High,AppServer-06,6,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-26 12:44:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
81,Malware,High,WebServer-03,7,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-25 09:50:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
82,BruteForce,Low,Workstation-08,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-19 04:52:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
83,BruteForce,High,MailServer-05,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-23 12:41:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
84,DataExfiltration,High,Workstation-08,4,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-26 12:17:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
85,BruteForce,High,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-21 01:36:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
86,BruteForce,High,DomainController-01,10,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-10 07:22:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
87,BruteForce,Critical,WebServer-03,7,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-04 21:15:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
88,BruteForce,High,FileServer-02,8,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-01 23:05:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
89,BruteForce,High,FileServer-02,8,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-24 20:33:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
90,Phishing,High,Workstation-08,4,None,0.0,True,Similar phishing attempt observed yesterday,T1566,Phishing,2024-11-14 07:16:00,1. Block sender domain at mail gateway | 2. Notify impacted users | 3. Search mailboxes for similar messages | 4. Reset credentials if link was clicked
91,Ransomware,High,MailServer-05,7,CVE-2024-40711,9.8,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-30 16:11:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
92,DataExfiltration,High,WebServer-03,7,None,0.0,True,Unusual outbound traffic spike last week,T1041,Exfiltration Over C2 Channel,2024-11-13 07:06:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
93,BruteForce,Critical,MailServer-05,7,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-06 15:17:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
94,Malware,Medium,Workstation-07,4,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-22 04:06:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
95,Ransomware,High,Workstation-07,4,None,0.0,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-03 10:16:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
96,BruteForce,High,DomainController-01,10,None,0.0,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-30 12:03:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
97,DataExfiltration,High,WebServer-03,7,CVE-2024-21338,7.8,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-19 00:38:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
98,Ransomware,High,Workstation-08,4,None,0.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-26 08:27:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
99,Ransomware,High,DomainController-01,10,CVE-2024-37085,7.2,False,No prior ransomware history,T1486,Data Encrypted for Impact,2024-11-04 17:10:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
100,BruteForce,High,DatabaseServer-04,9,CVE-2024-49563,7.3,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-21 07:18:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
101,BruteForce,Medium,Workstation-08,4,None,0.0,False,Isolated failed login,T1110,Brute Force,2024-11-11 05:59:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
102,DataExfiltration,Critical,FileServer-02,8,None,0.0,False,No prior exfiltration events,T1041,Exfiltration Over C2 Channel,2024-11-07 14:58:00,1. Block destination IP at perimeter | 2. Capture full network traffic | 3. Identify scope of exfiltrated data | 4. Engage legal team
103,Malware,High,DomainController-01,10,CVE-2024-30051,7.8,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-25 12:58:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
104,Malware,High,WebServer-03,7,None,0.0,True,Similar incident 2 months ago on same subnet,T1059,Command and Scripting Interpreter,2024-11-22 07:28:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
105,Malware,Medium,Workstation-08,4,None,0.0,False,No prior incidents,T1059,Command and Scripting Interpreter,2024-11-11 00:43:00,1. Isolate the affected endpoint | 2. Run EDR scan and memory dump | 3. Check SIEM for lateral movement | 4. Review process execution logs (T1059)
106,Ransomware,High,DomainController-01,10,CVE-2024-26169,7.0,True,Ransomware family previously seen in sector,T1486,Data Encrypted for Impact,2024-11-08 17:30:00,1. Disconnect host from network IMMEDIATELY | 2. Snapshot VMs before shutdown | 3. Activate IR playbook | 4. Preserve forensic evidence
107,BruteForce,High,WebServer-03,7,CVE-2024-38077,9.8,True,Repeated failed logins from same IP over 48h,T1110,Brute Force,2024-11-22 05:05:00,1. Enable account lockout immediately | 2. Block source IP | 3. Enforce MFA | 4. Review VPN/RDP logs for past 24h
